"location";"hits";"keyword";"geo";"gprop";"month_year";"sigla_uf";"cod_uf"
"Federal District";71;"zika virus";"BR";"web";"03-2016";"DF";53
"Federal District";48;"zika virus";"BR";"web";"01-2016";"DF";53
"Federal District";39;"zika virus";"BR";"web";"04-2016";"DF";53
"Federal District";66;"zika virus";"BR";"web";"05-2016";"DF";53
"Federal District";58;"zika virus";"BR";"web";"08-2016";"DF";53
"Federal District";50;"zika virus";"BR";"web";"02-2016";"DF";53
"Federal District";48;"zika virus";"BR";"web";"07-2016";"DF";53
"Federal District";41;"zika virus";"BR";"web";"10-2016";"DF";53
"Federal District";34;"zika virus";"BR";"web";"09-2016";"DF";53
"Federal District";38;"zika virus";"BR";"web";"06-2016";"DF";53
"Federal District";43;"zika virus";"BR";"web";"11-2016";"DF";53
"Federal District";43;"zika virus";"BR";"web";"12-2016";"DF";53
"State of Acre";44;"zika virus";"BR";"web";"04-2016";"AC";12
"State of Acre";100;"zika virus";"BR";"web";"07-2016";"AC";12
"State of Acre";100;"zika virus";"BR";"web";"06-2016";"AC";12
"State of Acre";53;"zika virus";"BR";"web";"02-2016";"AC";12
"State of Acre";0;"zika virus";"BR";"web";"10-2016";"AC";12
"State of Acre";100;"zika virus";"BR";"web";"12-2016";"AC";12
"State of Acre";93;"zika virus";"BR";"web";"03-2016";"AC";12
"State of Acre";44;"zika virus";"BR";"web";"01-2016";"AC";12
"State of Acre";0;"zika virus";"BR";"web";"09-2016";"AC";12
"State of Acre";0;"zika virus";"BR";"web";"08-2016";"AC";12
"State of Acre";38;"zika virus";"BR";"web";"05-2016";"AC";12
"State of Acre";100;"zika virus";"BR";"web";"11-2016";"AC";12
"State of Alagoas";71;"zika virus";"BR";"web";"03-2016";"AL";27
"State of Alagoas";34;"zika virus";"BR";"web";"02-2016";"AL";27
"State of Alagoas";55;"zika virus";"BR";"web";"06-2016";"AL";27
"State of Alagoas";64;"zika virus";"BR";"web";"08-2016";"AL";27
"State of Alagoas";19;"zika virus";"BR";"web";"01-2016";"AL";27
"State of Alagoas";67;"zika virus";"BR";"web";"04-2016";"AL";27
"State of Alagoas";21;"zika virus";"BR";"web";"11-2016";"AL";27
"State of Alagoas";69;"zika virus";"BR";"web";"07-2016";"AL";27
"State of Alagoas";31;"zika virus";"BR";"web";"12-2016";"AL";27
"State of Alagoas";91;"zika virus";"BR";"web";"05-2016";"AL";27
"State of Alagoas";47;"zika virus";"BR";"web";"10-2016";"AL";27
"State of Alagoas";46;"zika virus";"BR";"web";"09-2016";"AL";27
"State of Amapá";94;"zika virus";"BR";"web";"06-2016";"AP";16
"State of Amapá";74;"zika virus";"BR";"web";"09-2016";"AP";16
"State of Amapá";47;"zika virus";"BR";"web";"11-2016";"AP";16
"State of Amapá";42;"zika virus";"BR";"web";"02-2016";"AP";16
"State of Amapá";64;"zika virus";"BR";"web";"05-2016";"AP";16
"State of Amapá";100;"zika virus";"BR";"web";"08-2016";"AP";16
"State of Amapá";73;"zika virus";"BR";"web";"10-2016";"AP";16
"State of Amapá";48;"zika virus";"BR";"web";"04-2016";"AP";16
"State of Amapá";43;"zika virus";"BR";"web";"03-2016";"AP";16
"State of Amapá";51;"zika virus";"BR";"web";"07-2016";"AP";16
"State of Amapá";0;"zika virus";"BR";"web";"12-2016";"AP";16
"State of Amapá";13;"zika virus";"BR";"web";"01-2016";"AP";16
"State of Amazonas";79;"zika virus";"BR";"web";"04-2016";"AM";13
"State of Amazonas";64;"zika virus";"BR";"web";"07-2016";"AM";13
"State of Amazonas";76;"zika virus";"BR";"web";"08-2016";"AM";13
"State of Amazonas";33;"zika virus";"BR";"web";"11-2016";"AM";13
"State of Amazonas";73;"zika virus";"BR";"web";"06-2016";"AM";13
"State of Amazonas";81;"zika virus";"BR";"web";"02-2016";"AM";13
"State of Amazonas";53;"zika virus";"BR";"web";"10-2016";"AM";13
"State of Amazonas";18;"zika virus";"BR";"web";"12-2016";"AM";13
"State of Amazonas";60;"zika virus";"BR";"web";"09-2016";"AM";13
"State of Amazonas";100;"zika virus";"BR";"web";"05-2016";"AM";13
"State of Amazonas";32;"zika virus";"BR";"web";"01-2016";"AM";13
"State of Amazonas";100;"zika virus";"BR";"web";"03-2016";"AM";13
"State of Bahia";36;"zika virus";"BR";"web";"06-2016";"BA";29
"State of Bahia";21;"zika virus";"BR";"web";"01-2016";"BA";29
"State of Bahia";43;"zika virus";"BR";"web";"09-2016";"BA";29
"State of Bahia";29;"zika virus";"BR";"web";"11-2016";"BA";29
"State of Bahia";48;"zika virus";"BR";"web";"02-2016";"BA";29
"State of Bahia";52;"zika virus";"BR";"web";"04-2016";"BA";29
"State of Bahia";57;"zika virus";"BR";"web";"08-2016";"BA";29
"State of Bahia";17;"zika virus";"BR";"web";"12-2016";"BA";29
"State of Bahia";46;"zika virus";"BR";"web";"10-2016";"BA";29
"State of Bahia";44;"zika virus";"BR";"web";"07-2016";"BA";29
"State of Bahia";66;"zika virus";"BR";"web";"05-2016";"BA";29
"State of Bahia";81;"zika virus";"BR";"web";"03-2016";"BA";29
"State of Ceará";35;"zika virus";"BR";"web";"12-2016";"CE";23
"State of Ceará";38;"zika virus";"BR";"web";"04-2016";"CE";23
"State of Ceará";43;"zika virus";"BR";"web";"07-2016";"CE";23
"State of Ceará";58;"zika virus";"BR";"web";"08-2016";"CE";23
"State of Ceará";58;"zika virus";"BR";"web";"03-2016";"CE";23
"State of Ceará";48;"zika virus";"BR";"web";"02-2016";"CE";23
"State of Ceará";40;"zika virus";"BR";"web";"09-2016";"CE";23
"State of Ceará";34;"zika virus";"BR";"web";"10-2016";"CE";23
"State of Ceará";28;"zika virus";"BR";"web";"01-2016";"CE";23
"State of Ceará";61;"zika virus";"BR";"web";"06-2016";"CE";23
"State of Ceará";57;"zika virus";"BR";"web";"05-2016";"CE";23
"State of Ceará";34;"zika virus";"BR";"web";"11-2016";"CE";23
"State of Espírito Santo";35;"zika virus";"BR";"web";"01-2016";"ES";32
"State of Espírito Santo";73;"zika virus";"BR";"web";"03-2016";"ES";32
"State of Espírito Santo";20;"zika virus";"BR";"web";"12-2016";"ES";32
"State of Espírito Santo";23;"zika virus";"BR";"web";"09-2016";"ES";32
"State of Espírito Santo";53;"zika virus";"BR";"web";"02-2016";"ES";32
"State of Espírito Santo";33;"zika virus";"BR";"web";"10-2016";"ES";32
"State of Espírito Santo";26;"zika virus";"BR";"web";"06-2016";"ES";32
